Emp ID,satisfaction_level,number_project,average_montly_hours,motivation,motivation_A1,motivation_A2,motivation_A3,motivation_A4,motivation_A5,motivation_A6,motivation_A7,motivation_A8
1,0.38,2,157,0.4655,0.4655,0.5155,0.442225,0,0.4955,0.4955,0.5155,0.4855
2,0.8,5,262,0.707,0.707,0.757,0.7777,0,0.807,0.777,0.757,0.787
3,0.11,7,272,0.387,0.387,0.437,0.36765,0,0.487,0.417,0.437,0.467
4,0.72,5,223,0.7255,0.7255,0.7755,0.79805,0,0.8255,0.7955,0.7755,0.8055
5,0.37,2,159,0.4635,0.4635,0.5135,0.440325,0,0.4935,0.4935,0.5135,0.4835
6,0.41,2,153,0.4745,0.4745,0.5245,0.450775,0,0.5045,0.5045,0.5245,0.4945
7,0.1,6,247,0.3995,0.3995,0.4495,0.379525,0,0.4995,0.4295,0.4495,0.4795
8,0.92,5,259,0.7715,0.7715,0.8215,0.84865,0,0.8715,0.8415,0.8215,0.8515
9,0.89,5,224,0.809,0.809,0.859,0.8899,0,0.909,0.879,0.859,0.889
10,0.42,2,142,0.463,0.463,0.513,0.43985,0,0.493,0.493,0.513,0.483
11,0.45,2,135,0.4675,0.4675,0.5175,0.444125,0,0.4975,0.4975,0.5175,0.4875
12,0.11,6,305,0.3175,0.3175,0.3675,0.301625,0,0.4175,0.3475,0.3675,0.3975
13,0.84,4,234,0.749,0.749,0.799,0.8239,0,0.849,0.819,0.799,0.769
14,0.41,2,148,0.467,0.467,0.517,0.44365,0,0.497,0.497,0.517,0.487
15,0.36,2,137,0.4255,0.4255,0.4755,0.404225,0,0.4555,0.4555,0.4755,0.4455
16,0.38,2,143,0.4445,0.4445,0.4945,0.422275,0,0.4745,0.4745,0.4945,0.4645
17,0.45,2,160,0.505,0.505,0.555,0.47975,0,0.535,0.535,0.555,0.525
18,0.78,4,255,0.6875,0.6875,0.7375,0.75625,0,0.7875,0.7575,0.7375,0.7075
19,0.45,2,160,0.505,0.505,0.555,0.47975,0,0.535,0.535,0.555,0.525
20,0.76,5,262,0.687,0.687,0.737,0.7557,0,0.787,0.757,0.737,0.767
21,0.11,6,282,0.352,0.352,0.402,0.3344,0,0.452,0.382,0.402,0.432
22,0.38,2,147,0.4505,0.4505,0.5005,0.427975,0,0.4805,0.4805,0.5005,0.4705
23,0.09,6,304,0.309,0.309,0.359,0.29355,0,0.409,0.339,0.359,0.389
24,0.46,2,139,0.4785,0.4785,0.5285,0.454575,0,0.5085,0.5085,0.5285,0.4985
25,0.4,2,158,0.477,0.477,0.527,0.45315,0,0.507,0.507,0.527,0.497
26,0.89,5,242,0.782,0.782,0.832,0.8602,0,0.882,0.852,0.832,0.862
27,0.82,4,239,0.7315,0.7315,0.7815,0.80465,0,0.8315,0.8015,0.7815,0.7515
28,0.4,2,135,0.4425,0.4425,0.4925,0.420375,0,0.4725,0.4725,0.4925,0.4625
29,0.41,2,128,0.437,0.437,0.487,0.41515,0,0.467,0.467,0.487,0.457
30,0.38,2,132,0.428,0.428,0.478,0.4066,0,0.458,0.458,0.478,0.448
31,0.09,6,294,0.324,0.324,0.374,0.3078,0,0.424,0.354,0.374,0.404
32,0.45,2,134,0.466,0.466,0.516,0.4427,0,0.496,0.496,0.516,0.486
33,0.4,2,145,0.4575,0.4575,0.5075,0.434625,0,0.4875,0.4875,0.5075,0.4775
34,0.45,2,140,0.475,0.475,0.525,0.45125,0,0.505,0.505,0.525,0.495
35,0.84,4,246,0.731,0.731,0.781,0.8041,0,0.831,0.801,0.781,0.751
36,0.1,6,255,0.3875,0.3875,0.4375,0.368125,0,0.4875,0.4175,0.4375,0.4675
37,0.38,2,137,0.4355,0.4355,0.4855,0.413725,0,0.4655,0.4655,0.4855,0.4555
38,0.45,2,126,0.454,0.454,0.504,0.4313,0,0.484,0.484,0.504,0.474
39,0.11,6,306,0.316,0.316,0.366,0.3002,0,0.416,0.346,0.366,0.396
40,0.41,2,152,0.473,0.473,0.523,0.44935,0,0.503,0.503,0.523,0.493
41,0.87,5,269,0.7315,0.7315,0.7815,0.80465,0,0.8315,0.8015,0.7815,0.8115
42,0.45,2,158,0.502,0.502,0.552,0.4769,0,0.532,0.532,0.552,0.522
43,0.4,2,127,0.4305,0.4305,0.4805,0.408975,0,0.4605,0.4605,0.4805,0.4505
44,0.1,7,281,0.3685,0.3685,0.4185,0.350075,0,0.4685,0.3985,0.4185,0.4485
45,0.09,6,276,0.351,0.351,0.401,0.33345,0,0.451,0.381,0.401,0.431
46,0.84,3,182,0.753,0.753,0.803,0.8283,0,0.783,0.823,0.803,0.773
47,0.4,2,147,0.4605,0.4605,0.5105,0.437475,0,0.4905,0.4905,0.5105,0.4805
48,0.57,3,273,0.5355,0.5355,0.5855,0.508725,0,0.6355,0.5655,0.5855,0.5555
49,0.4,2,148,0.462,0.462,0.512,0.4389,0,0.492,0.492,0.512,0.482
50,0.43,2,147,0.4755,0.4755,0.5255,0.451725,0,0.5055,0.5055,0.5255,0.4955
51,0.13,6,152,0.413,0.413,0.463,0.39235,0,0.443,0.443,0.463,0.493
52,0.44,2,135,0.4625,0.4625,0.5125,0.439375,0,0.4925,0.4925,0.5125,0.4825
53,0.38,2,134,0.431,0.431,0.481,0.40945,0,0.461,0.461,0.481,0.451
54,0.39,2,132,0.433,0.433,0.483,0.41135,0,0.463,0.463,0.483,0.453
55,0.1,7,307,0.3295,0.3295,0.3795,0.313025,0,0.4295,0.3595,0.3795,0.4095
56,0.37,2,140,0.435,0.435,0.485,0.41325,0,0.465,0.465,0.485,0.455
57,0.11,7,255,0.4125,0.4125,0.4625,0.391875,0,0.5125,0.4425,0.4625,0.4925
58,0.1,6,309,0.3065,0.3065,0.3565,0.291175,0,0.4065,0.3365,0.3565,0.3865
59,0.38,2,128,0.422,0.422,0.472,0.4009,0,0.452,0.452,0.472,0.442
60,0.85,4,225,0.7675,0.7675,0.8175,0.84425,0,0.8675,0.8375,0.8175,0.7875
61,0.85,5,226,0.786,0.786,0.836,0.8646,0,0.886,0.856,0.836,0.866
62,0.11,7,308,0.333,0.333,0.383,0.31635,0,0.433,0.363,0.383,0.413
63,0.1,6,244,0.404,0.404,0.454,0.3838,0,0.504,0.434,0.454,0.484
64,0.36,2,132,0.418,0.418,0.468,0.3971,0,0.448,0.448,0.468,0.438
65,0.11,6,286,0.346,0.346,0.396,0.3287,0,0.446,0.376,0.396,0.426
66,0.81,6,161,0.7665,0.7665,0.8165,0.84315,0,0.7965,0.8365,0.8165,0.8465
67,0.43,2,153,0.4845,0.4845,0.5345,0.460275,0,0.5145,0.5145,0.5345,0.5045
68,0.9,4,264,0.734,0.734,0.784,0.8074,0,0.834,0.804,0.784,0.754
